Update,Total Number of Messages Sent,Self IDs,Real IDs,Highest IDs
73200,3.56E+09,748900,3.56E+09,1.74E+07
73300,3.57E+09,748900,3.57E+09,1.75E+07
73400,3.57E+09,748900,3.57E+09,1.75E+07
73500,3.58E+09,748900,3.58E+09,1.75E+07
73600,3.58E+09,748900,3.58E+09,1.76E+07
73700,3.59E+09,748900,3.59E+09,1.76E+07
73800,3.59E+09,748900,3.59E+09,1.76E+07
73900,3.60E+09,748900,3.60E+09,1.76E+07
74000,3.60E+09,748900,3.60E+09,1.76E+07
74100,3.61E+09,748900,3.61E+09,1.77E+07
74200,3.61E+09,748900,3.61E+09,1.77E+07
74300,3.61E+09,748900,3.61E+09,1.77E+07
74400,3.62E+09,748900,3.62E+09,1.77E+07
74500,3.62E+09,748900,3.62E+09,1.78E+07
74600,3.63E+09,748900,3.63E+09,1.78E+07
74700,3.63E+09,748900,3.63E+09,1.78E+07
74800,3.64E+09,748900,3.64E+09,1.78E+07
74900,3.64E+09,748900,3.64E+09,1.79E+07
75000,3.65E+09,748900,3.65E+09,1.79E+07
75100,3.65E+09,748900,3.65E+09,1.79E+07
75200,3.66E+09,748900,3.66E+09,1.79E+07
75300,3.66E+09,748900,3.66E+09,1.80E+07
75400,3.67E+09,748900,3.67E+09,1.80E+07
75500,3.67E+09,748900,3.67E+09,1.80E+07
75600,3.68E+09,748900,3.68E+09,1.80E+07
75700,3.68E+09,748900,3.68E+09,1.80E+07
75800,3.69E+09,748900,3.69E+09,1.81E+07
75900,3.69E+09,748900,3.69E+09,1.81E+07
76000,3.70E+09,748900,3.70E+09,1.81E+07
76100,3.70E+09,748900,3.70E+09,1.81E+07
76200,3.71E+09,748900,3.71E+09,1.82E+07
76300,3.71E+09,748900,3.71E+09,1.82E+07
76400,3.71E+09,748900,3.71E+09,1.82E+07
76500,3.72E+09,748900,3.72E+09,1.82E+07
76600,3.72E+09,748900,3.72E+09,1.82E+07
76700,3.73E+09,748900,3.73E+09,1.83E+07
76800,3.73E+09,748900,3.73E+09,1.83E+07
76900,3.74E+09,748900,3.74E+09,1.83E+07
77000,3.74E+09,748900,3.74E+09,1.83E+07
77100,3.75E+09,748900,3.75E+09,1.84E+07
77200,3.75E+09,748900,3.75E+09,1.84E+07
77300,3.76E+09,748900,3.76E+09,1.84E+07
77400,3.76E+09,748900,3.76E+09,1.84E+07
77500,3.76E+09,748900,3.76E+09,1.84E+07
77600,3.77E+09,748900,3.77E+09,1.85E+07
77700,3.78E+09,748900,3.78E+09,1.85E+07
77800,3.78E+09,748900,3.78E+09,1.85E+07
77900,3.79E+09,748900,3.79E+09,1.85E+07
78000,3.79E+09,748900,3.79E+09,1.86E+07
78100,3.80E+09,748900,3.80E+09,1.86E+07
78200,3.81E+09,748900,3.81E+09,1.86E+07
78300,3.81E+09,748900,3.81E+09,1.87E+07
78400,3.82E+09,748900,3.82E+09,1.87E+07
78500,3.82E+09,748900,3.82E+09,1.87E+07
78600,3.83E+09,748900,3.83E+09,1.88E+07
78700,3.83E+09,748900,3.83E+09,1.88E+07
78800,3.84E+09,748900,3.84E+09,1.88E+07
78900,3.84E+09,748900,3.84E+09,1.88E+07
79000,3.85E+09,748900,3.85E+09,1.89E+07
79100,3.86E+09,748900,3.86E+09,1.89E+07
79200,3.86E+09,748900,3.86E+09,1.89E+07
79300,3.87E+09,748900,3.87E+09,1.89E+07
79400,3.87E+09,748900,3.87E+09,1.90E+07
79500,3.88E+09,748900,3.88E+09,1.90E+07
79600,3.88E+09,748900,3.88E+09,1.90E+07
79700,3.88E+09,748900,3.88E+09,1.90E+07
79800,3.89E+09,748900,3.89E+09,1.91E+07
79900,3.89E+09,748900,3.89E+09,1.91E+07
80000,3.90E+09,748900,3.90E+09,1.91E+07
80100,3.90E+09,748900,3.90E+09,1.91E+07
80200,3.91E+09,748900,3.91E+09,1.91E+07
80300,3.91E+09,748900,3.91E+09,1.92E+07
80400,3.92E+09,748900,3.92E+09,1.92E+07
80500,3.92E+09,748900,3.92E+09,1.92E+07
80600,3.92E+09,748900,3.92E+09,1.92E+07
80700,3.93E+09,748900,3.93E+09,1.92E+07
80800,3.93E+09,748900,3.93E+09,1.93E+07
80900,3.94E+09,748900,3.94E+09,1.93E+07
81000,3.94E+09,748900,3.94E+09,1.93E+07
81100,3.94E+09,748900,3.94E+09,1.93E+07
81200,3.95E+09,748900,3.95E+09,1.93E+07
81300,3.95E+09,748900,3.95E+09,1.94E+07
81400,3.96E+09,748900,3.96E+09,1.94E+07
81500,3.96E+09,748900,3.96E+09,1.94E+07
81600,3.97E+09,748900,3.97E+09,1.94E+07
81700,3.97E+09,748900,3.97E+09,1.95E+07
81800,3.97E+09,748900,3.97E+09,1.95E+07
81900,3.98E+09,748900,3.98E+09,1.95E+07
82000,3.98E+09,748900,3.98E+09,1.95E+07
82100,3.99E+09,748900,3.99E+09,1.95E+07
82200,3.99E+09,748900,3.99E+09,1.96E+07
82300,4.00E+09,748900,4.00E+09,1.96E+07
82400,4.00E+09,748900,4.00E+09,1.96E+07
82500,4.01E+09,748900,4.01E+09,1.96E+07
82600,4.01E+09,748900,4.01E+09,1.97E+07
82700,4.02E+09,748900,4.02E+09,1.97E+07
82800,4.03E+09,748900,4.03E+09,1.97E+07
82900,4.04E+09,748900,4.04E+09,1.98E+07
83000,4.04E+09,748900,4.04E+09,1.98E+07
